Test accuracy: 0.9684000015258789

Image Name, Predicted Class
1.jpg, Dog
10001.jpg, Dog
10012.jpg, Dog
10025.jpg, Dog
10034.jpg, Dog
10042.jpg, Dog
10052.jpg, Dog
10078.jpg, Dog
1009.jpg, Dog
10090.jpg, Dog
10106.jpg, Dog
10137.jpg, Dog
1014.jpg, Dog
10144.jpg, Dog
10147.jpg, Dog
10187.jpg, Dog
10192.jpg, Dog
1020.jpg, Dog
10205.jpg, Dog
10209.jpg, Dog
10239.jpg, Dog
10245.jpg, Dog
10249.jpg, Dog
10263.jpg, Dog
10264.jpg, Dog
10270.jpg, Dog
10275.jpg, Dog
10287.jpg, Dog
10292.jpg, Dog
10297.jpg, Dog
10302.jpg, Dog
10330.jpg, Dog
10334.jpg, Dog
10345.jpg, Dog
10368.jpg, Dog
10379.jpg, Dog
10386.jpg, Dog
10408.jpg, Cat
10415.jpg, Dog
10430.jpg, Dog
10432.jpg, Dog
10451.jpg, Dog
10459.jpg, Dog
1046.jpg, Dog
10461.jpg, Dog
10468.jpg, Dog
10484.jpg, Dog
10497.jpg, Dog
105.jpg, Dog
10502.jpg, Dog
10503.jpg, Dog
10505.jpg, Dog
10510.jpg, Dog
10524.jpg, Dog
10529.jpg, Dog
1053.jpg, Dog
10538.jpg, Dog
10539.jpg, Dog
10545.jpg, Dog
10563.jpg, Dog
10566.jpg, Dog
10579.jpg, Dog
10582.jpg, Dog
10595.jpg, Dog
1061.jpg, Dog
10618.jpg, Dog
10622.jpg, Dog
10630.jpg, Dog
10640.jpg, Dog
10642.jpg, Dog
10659.jpg, Dog
10694.jpg, Dog
10700.jpg, Dog
10705.jpg, Dog
10713.jpg, Dog
10726.jpg, Dog
10729.jpg, Dog
10741.jpg, Dog
1075.jpg, Dog
10771.jpg, Dog
10776.jpg, Cat
10782.jpg, Dog
10784.jpg, Dog
10786.jpg, Dog
10787.jpg, Dog
10790.jpg, Dog
10793.jpg, Dog
1080.jpg, Dog
10800.jpg, Dog
10804.jpg, Dog
10810.jpg, Dog
10819.jpg, Dog
1083.jpg, Dog
10837.jpg, Dog
10865.jpg, Cat
10903.jpg, Dog
10939.jpg, Dog
10967.jpg, Dog
1097.jpg, Dog
10979.jpg, Dog
10985.jpg, Dog
10993.jpg, Dog
11041.jpg, Dog
11045.jpg, Dog
11046.jpg, Dog
11055.jpg, Dog
11056.jpg, Dog
11060.jpg, Dog
11062.jpg, Dog
11085.jpg, Dog
11091.jpg, Dog
11117.jpg, Cat
11126.jpg, Dog
11128.jpg, Dog
11129.jpg, Dog
11157.jpg, Dog
11159.jpg, Dog
11174.jpg, Dog
11193.jpg, Dog
11194.jpg, Dog
